year,season,time,valid_time,t2m
2022,spring,09:00:00,2022-04-15 21:00:00.000000000,9.657904614130434
2022,spring,10:00:00,2022-04-15 22:00:00.000000000,10.674877688043479
2022,spring,11:00:00,2022-04-15 23:00:00.000000000,11.398704195652172
2022,spring,12:00:00,2022-04-16 00:00:00.000000000,11.906880276086957
2022,spring,13:00:00,2022-04-16 01:00:00.000000000,12.318246613043478
2022,spring,14:00:00,2022-04-16 02:00:00.000000000,12.46916797173913
2022,spring,15:00:00,2022-04-16 03:00:00.000000000,12.444178042391304
2022,spring,16:00:00,2022-04-16 04:00:00.000000000,12.169639260869564
2022,spring,17:00:00,2022-04-16 05:00:00.000000000,11.66256186195652
2022,spring,18:00:00,2022-04-16 06:00:00.000000000,10.87940384021739
2022,spring,19:00:00,2022-04-16 07:00:00.000000000,9.942946657608696
2022,spring,20:00:00,2022-04-16 08:00:00.000000000,9.069735329347827
2022,spring,21:00:00,2022-04-16 09:00:00.000000000,8.385778022826086
2022,spring,22:00:00,2022-04-16 10:00:00.000000000,7.862072454347826
2022,spring,23:00:00,2022-04-16 11:00:00.000000000,7.523935067701087
2022,summer,00:00:00,2022-07-16 12:00:00.000000000,13.871248992391305
2022,summer,01:00:00,2022-07-16 13:00:00.000000000,13.54998381195652
2022,summer,02:00:00,2022-07-16 14:00:00.000000000,13.278539252173914
2022,summer,03:00:00,2022-07-16 15:00:00.000000000,13.079092265217392
2022,summer,04:00:00,2022-07-16 16:00:00.000000000,12.936569894565219
2022,summer,05:00:00,2022-07-16 17:00:00.000000000,13.105438288043478
2022,summer,06:00:00,2022-07-16 18:00:00.000000000,13.727949103260869
2022,summer,07:00:00,2022-07-16 19:00:00.000000000,14.81824654347826
2022,summer,08:00:00,2022-07-16 20:00:00.000000000,16.002861972826086
2022,summer,09:00:00,2022-07-16 21:00:00.000000000,17.11451123369565
2022,summer,10:00:00,2022-07-16 22:00:00.000000000,18.07475347826087
2022,summer,11:00:00,2022-07-16 23:00:00.000000000,18.86426178804348
2022,summer,12:00:00,2022-07-17 00:00:00.000000000,19.502946902173914
2022,summer,13:00:00,2022-07-17 01:00:00.000000000,19.93306693478261
2022,summer,14:00:00,2022-07-17 02:00:00.000000000,20.142035402173914
2022,summer,15:00:00,2022-07-17 03:00:00.000000000,20.09037317934783
2022,summer,16:00:00,2022-07-17 04:00:00.000000000,19.853803505434783
2022,summer,17:00:00,2022-07-17 05:00:00.000000000,19.433358836956522
2022,summer,18:00:00,2022-07-17 06:00:00.000000000,18.821921945652175
2022,summer,19:00:00,2022-07-17 07:00:00.000000000,17.93086708695652
2022,summer,20:00:00,2022-07-17 08:00:00.000000000,16.82816608695652
2022,summer,21:00:00,2022-07-17 09:00:00.000000000,15.714961836956522
2022,summer,22:00:00,2022-07-17 10:00:00.000000000,14.865872603260868
2022,summer,23:00:00,2022-07-17 11:00:00.000000000,14.335668141304348
2022,autumn,00:00:00,2022-10-16 00:00:00.000000000,10.273447865934067
2022,autumn,01:00:00,2022-10-16 01:00:00.000000000,10.147313042857142
2022,autumn,02:00:00,2022-10-16 02:00:00.000000256,10.011654050879121
2022,autumn,03:00:00,2022-10-16 03:00:00.000000000,9.856219666483517
2022,autumn,04:00:00,2022-10-16 04:00:00.000000000,9.737518966483517
2022,autumn,05:00:00,2022-10-16 05:00:00.000000000,9.696919191648352
2022,autumn,06:00:00,2022-10-16 05:59:59.999999744,9.724480253186814
2022,autumn,07:00:00,2022-10-16 07:00:00.000000000,9.881730991978023
2022,autumn,08:00:00,2022-10-16 08:00:00.000000000,10.451858366923076
2022,autumn,09:00:00,2022-10-16 09:00:00.000000000,11.264430780769231
2022,autumn,10:00:00,2022-10-16 10:00:00.000000256,12.088781032967033
2022,autumn,11:00:00,2022-10-16 11:00:00.000000000,12.761970554945055
2022,autumn,12:00:00,2022-10-16 12:00:00.000000000,13.237207732967033
2022,autumn,13:00:00,2022-10-16 13:00:00.000000000,13.527853185714285
2022,autumn,14:00:00,2022-10-16 13:59:59.999999744,13.626357216483516
2022,autumn,15:00:00,2022-10-16 15:00:00.000000000,13.444070037362637
2022,autumn,16:00:00,2022-10-16 16:00:00.000000000,13.025883952747254
2022,autumn,17:00:00,2022-10-16 17:00:00.000000000,12.442733934065934
2022,autumn,18:00:00,2022-10-16 18:00:00.000000256,11.837589874725275
2022,autumn,19:00:00,2022-10-16 19:00:00.000000000,11.290768417582418
2022,autumn,20:00:00,2022-10-16 20:00:00.000000000,10.912667076923077
2022,autumn,21:00:00,2022-10-16 21:00:00.000000000,10.686949663736264
